 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 41 : 59.692( 0.166)|43.784 |15.907 |56.0 |41.0| 0.957(0.03) |15.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.512(0.169) |0.806(0.005,+0.077-0.077) |0.93(0.03)| 1.0(+0.0-0.0)| 22.493(+0.333-0.333,+0.189-0.189)
 42 : 44.272( 0.196)|30.571 |13.701 |48.0 |34.0| 0.957(0.03) |14.0| 0.854(0.032) | 0.987(0.01,0.002) | 0.965(0.009) |0.497(0.22) |0.684(0.005,+0.164-0.164) |0.927(0.03)| 1.0(+0.0-0.0)| 15.893(+0.436-0.436,+0.277-0.277)
 43 : 42.451( 0.206)|28.807 |13.643 |21.0 |13.0| 0.957(0.024) |8.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.478(0.206) |0.727(0.005,+0.074-0.074) |0.926(0.026)| 1.0(+0.0-0.0)| 7.102(+0.645-0.645,+0.221-0.221)
 44 : 42.541( 0.231)|32.042 |10.499 |35.0 |23.0| 0.957(0.024) |12.0| 0.877(0.03) | 0.987(0.01,0.001) | 0.965(0.009) |0.421(0.249) |0.615(0.005,+0.152-0.152) |0.93(0.025)| 1.0(+0.0-0.0)| 8.852(+0.668-0.668,+0.293-0.293)
 45 : 74.063( 0.157)|53.317 |20.746 |57.0 |41.0| 0.949(0.052) |16.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.478(0.172) |0.781(0.005,+0.045-0.045) |0.936(0.045)| 1.0(+0.0-0.0)| 20.913(+0.361-0.361,+0.184-0.184)
 46 : 4.936( 0.518)|3.939 |0.997 |6.0 |6.0| 0.949(0.052) |0.0| 0.904(0.028) | 0.987(0.01,0.002) | 0.965(0.009) |0.378(0.511) |0.459(0.005,+0.458-0.458) |0.949(0.052)| 1.0(+0.0-0.0)| 1.036(+2.861-2.861,+0.688-0.688)
 47 : 17.3( 0.324)|14.446 |2.854 |13.0 |13.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.842(0.331) |0.754(0.005,+0.053-0.053) |0.952(0.106)| 1.0(+0.0-0.0)| 8.258(+0.481-0.481,+0.352-0.352)
 48 : 2.106( 1.037)|2.106 |0.0 |4.0 |4.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.004) | 0.965(0.009) |0.343(1.02) |0.891(0.005,+0.081-0.081) |0.952(0.106)| 1.0(+0.0-0.0)| 1.233(+2.113-2.113,+1.029-1.029)
 49 : 0.934( 1.037)|0.934 |0.0 |1.0 |1.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |2.421(1.007) |0.461(0.005,+0.163-0.163) |0.952(0.106)| 1.0(+0.0-0.0)| 1.128(+1.725-1.725,+1.026-1.026)
 50 : 0.977( 1.037)|0.977 |0.0 |4.0 |3.0| 0.952(0.106) |1.0| 0.926(0.08) | 1.0(0.01,0.0) | 0.965(0.009) |0.497(1.0) |0.74(0.005,+0.099-0.099) |0.946(0.1)| 1.0(+0.0-0.0)| 1.443(+1.386-1.386,+1.01-1.01)
 51 : 3.667( 0.612)|1.154 |2.513 |4.0 |2.0| 0.957(0.03) |2.0| 0.854(0.032) | 0.991(0.01,0.001) | 0.965(0.009) |1.815(0.643) |0.806(0.005,+0.077-0.077) |0.906(0.031)| 1.0(+0.0-0.0)| 5.548(+0.361-0.361,+0.649-0.649)
 52 : 2.278( 1.037)|0.0 |2.278 |1.0 |1.0| 0.957(0.03) |0.0| 0.854(0.032) | 0.985(0.01,0.002) | 0.965(0.009) |0.25(1.018) |0.684(0.005,+0.164-0.164) |0.957(0.03)| 1.0(+0.0-0.0)| 0.172(+11.297-11.297,+1.032-1.032)
 53 : 3.877( 0.602)|3.877 |0.0 |3.0 |3.0| 0.957(0.03) |0.0| 0.854(0.032) | 0.988(0.01,0.001) | 0.965(0.009) |0.599(0.59) |0.727(0.005,+0.074-0.074) |0.957(0.03)| 1.0(+0.0-0.0)| 1.311(+1.835-1.835,+0.596-0.596)
 54 : 1.872( 1.037)|0.0 |1.872 |0.0 |0.0| 0.957(0.024) |0.0| 0.877(0.03) | 0.986(0.01,0.001) | 0.965(0.009) |0.263(1.022) |0.615(0.005,+0.152-0.152) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+0.62-0.62,+1.033-1.033)
 55 : 6.836( 0.511)|2.971 |3.865 |5.0 |4.0| 0.957(0.024) |1.0| 0.877(0.03) | 0.987(0.01,0.001) | 0.965(0.009) |0.618(0.568) |0.781(0.005,+0.045-0.045) |0.941(0.025)| 1.0(+0.0-0.0)| 2.385(+0.938-0.938,+0.571-0.571)
 56 : 0.0( 1.67)|0.0 |0.0 |0.0 |0.0| 0.949(0.052) |0.0| 0.904(0.028) | 1.0(0.01,0.0) | 0.965(0.009) |0.343(1.0) |0.459(0.005,+0.458-0.458) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+0.809-0.809,+1.1-1.1)
 57 : 1.273( 1.037)|1.273 |0.0 |3.0 |1.0| 0.949(0.052) |2.0| 0.904(0.028) | 1.0(0.01,0.0) | 0.965(0.009) |2.421(1.0) |0.754(0.005,+0.053-0.053) |0.919(0.036)| 1.0(+0.0-0.0)| 5.221(+0.332-0.332,+1.002-1.002)
 58 : 0.0( 1.67)|0.0 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) | 1.0(0.01,0.0) | 0.965(0.009) |0.0(1.0) |0.891(0.005,+0.081-0.081) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+0.0-0.0,+1.003-1.003)
 59 : 0.0( 1.67)|0.0 |0.0 |0.0 |0.0| 0.952(0.106) |0.0| 0.926(0.08) | 1.0(0.01,0.0) | 0.965(0.009) |1.815(1.0) |0.461(0.005,+0.163-0.163) |1.0(0.0)| 1.0(+0.0-0.0)| 0.0(+4.287-4.287,+1.013-1.013)
